
order_id,customer_id,timestamp,product_id,product_name,category,subcategory,brand,price,quantity,store_location
1001,C001,2024-12-15 10:30:00,P001,Whole Wheat Bread,Grocery,Bakery,Wonder Bread,2.99,1,New York
1001,C001,2024-12-15 10:30:00,P002,Organic Butter,Grocery,Dairy,Land O Lakes,4.49,1,New York
1001,C001,2024-12-15 10:30:00,P003,Strawberry Jam,Grocery,Condiments,Smucker's,3.79,1,New York
1002,C002,2024-12-16 14:45:00,P004,iPhone 15 Pro,Electronics,Smartphones,Apple,999.99,1,Chicago
1002,C002,2024-12-16 14:45:00,P005,USB-C Cable,Electronics,Accessories,Apple,29.99,2,Chicago
1002,C002,2024-12-16 14:45:00,P006,Phone Case,Electronics,Accessories,OtterBox,39.99,1,Chicago
1003,C003,2024-12-17 09:15:00,P007,Levi's Jeans,Clothing,Pants,Levi's,59.99,1,Dallas
1003,C003,2024-12-17 09:15:00,P008,Cotton T-Shirt,Clothing,Shirts,Hanes,12.99,3,Dallas
1003,C003,2024-12-17 09:15:00,P009,Leather Belt,Clothing,Accessories,Fossil,34.99,1,Dallas
1004,C004,2024-12-18 16:20:00,P010,Shampoo,Personal Care,Hair Care,Pantene,6.99,1,Miami
1004,C004,2024-12-18 16:20:00,P011,Conditioner,Personal Care,Hair Care,Pantene,7.49,1,Miami
1004,C004,2024-12-18 16:20:00,P012,Body Wash,Personal Care,Bath,Dove,4.99,2,Miami
1005,C005,2024-12-19 11:00:00,P013,Coffee Maker,Home & Kitchen,Appliances,Cuisinart,89.99,1,Seattle
1005,C005,2024-12-19 11:00:00,P014,Coffee Beans,Grocery,Beverages,Starbucks,12.99,2,Seattle
1005,C005,2024-12-19 11:00:00,P015,Coffee Filters,Home & Kitchen,Appliances,Melitta,5.99,1,Seattle
1006,C006,2024-12-20 13:30:00,P016,Doritos Nacho Cheese,Grocery,Snacks,Frito-Lay,3.49,2,Los Angeles
1006,C006,2024-12-20 13:30:00,P017,Coca-Cola 12-Pack,Grocery,Beverages,Coca-Cola,5.99,1,Los Angeles
1006,C006,2024-12-20 13:30:00,P018,Oreo Cookies,Grocery,Snacks,Nabisco,4.29,1,Los Angeles
1007,C007,2024-12-21 08:45:00,P019,Samsung Galaxy S24,Electronics,Smartphones,Samsung,799.99,1,Houston
1007,C007,2024-12-21 08:45:00,P020,Wireless Charger,Electronics,Accessories,Samsung,49.99,1,Houston
1007,C007,2024-12-21 08:45:00,P021,Screen Protector,Electronics,Accessories,Zagg,24.99,1,Houston
1008,C008,2024-12-22 15:10:00,P022,Nike Air Max,Clothing,Shoes,Nike,119.99,1,Phoenix
1008,C008,2024-12-22 15:10:00,P023,Running Shorts,Clothing,Activewear,Nike,29.99,2,Phoenix
1008,C008,2024-12-22 15:10:00,P024,Sports Socks,Clothing,Accessories,Adidas,14.99,3,Phoenix
1009,C009,2024-12-23 12:00:00,P025,Toothpaste,Personal Care,Oral Care,Colgate,3.99,2,Denver
1009,C009,2024-12-23 12:00:00,P026,Toothbrush,Personal Care,Oral Care,Oral-B,4.99,1,Denver
1009,C009,2024-12-23 12:00:00,P027,Mouthwash,Personal Care,Oral Care,Listerine,5.99,1,Denver
